"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jun 15 19:17:07 GMT 2025","Sun Jun 15 19:17:07 GMT 2025","8","timeUtils","","","","","isValidTime accepts 09:00am",""
"passed","Sun Jun 15 19:17:07 GMT 2025","Sun Jun 15 19:17:07 GMT 2025","0","timeUtils","","","","","isValidTime rejects bad input",""
"failed","Sun Jun 15 19:17:07 GMT 2025","Sun Jun 15 19:17:07 GMT 2025","1","timeUtils","","","","","isValidTimeSlot accepts a valid slot",""
"passed","Sun Jun 15 19:17:07 GMT 2025","Sun Jun 15 19:17:07 GMT 2025","0","timeUtils","","","","","isValidDate accepts today",""
"passed","Sun Jun 15 19:17:07 GMT 2025","Sun Jun 15 19:17:07 GMT 2025","0","timeUtils","","","","","dateToTimeSlotString should combine date and time",""
"passed","Sun Jun 15 19:17:37 GMT 2025","Sun Jun 15 19:17:37 GMT 2025","303","chromium","basic.spec.ts","","","","homepage loads",""
"passed","Sun Jun 15 19:17:07 GMT 2025","Sun Jun 15 19:17:07 GMT 2025","14","timeUtils","","","","","dateToTime should format time with am/pm",""
"passed","Sun Jun 15 19:17:07 GMT 2025","Sun Jun 15 19:17:07 GMT 2025","2","timeUtils","","","","","dateToDateString should format date as YYYY-MM-DD",""
