"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 11 07:31:47 GMT 2025","Fri Jul 11 07:31:47 GMT 2025","0","timeUtils","","","","","isValidDate accepts today",""
"passed","Fri Jul 11 07:32:18 GMT 2025","Fri Jul 11 07:32:19 GMT 2025","297","chromium","basic.spec.ts","","","","homepage loads",""
"passed","Fri Jul 11 07:31:47 GMT 2025","Fri Jul 11 07:31:47 GMT 2025","1","timeUtils","","","","","dateToDateString should format date as YYYY-MM-DD",""
"passed","Fri Jul 11 07:31:47 GMT 2025","Fri Jul 11 07:31:47 GMT 2025","0","timeUtils","","","","","isValidTimeSlot accepts a valid slot",""
"passed","Fri Jul 11 07:31:47 GMT 2025","Fri Jul 11 07:31:47 GMT 2025","0","timeUtils","","","","","isValidTime rejects bad input",""
"passed","Fri Jul 11 07:31:47 GMT 2025","Fri Jul 11 07:31:47 GMT 2025","256","timeUtils","","","","","dateToTime should format time with am/pm",""
"passed","Fri Jul 11 07:31:47 GMT 2025","Fri Jul 11 07:31:47 GMT 2025","0","timeUtils","","","","","isValidTime accepts 09:00am",""
"passed","Fri Jul 11 07:31:47 GMT 2025","Fri Jul 11 07:31:47 GMT 2025","1","timeUtils","","","","","dateToTimeSlotString should combine date and time",""
